imageNumber,releaseNumber,title,saveType,romSize,publisher,location,sourceRom,language,im1CRC,im2CRC,comment,duplicateID
1,1,F-Zero,Sram_v110,4194304,Nintendo,7,Independent,256,13614BF9,534B8EC4,[Table],1
2,2,Super Mario Advance,Eeprom_v111,4194304,Nintendo,7,Independent,256,B70324CE,78E2FBA4,[Table],2
3,3,Battle Network Rockman EXE,Sram_v110,8388608,Capcom,7,Eurasia,256,176C42D6,D777750D,[Table],3
4,4,Kurukuru Kururin,Sram_v110,4194304,Nintendo,7,Eurasia,256,164E96ED,A045A4D8,[Table],4
5,5,Mr. Driller 2,Sram_F_v100,4194304,Namco,7,Capital,256,1229DBDF,739D0E8F,[Table],5
6,6,Chu Chu Rocket!,Flash_v121,4194304,Sega,7,Capital,4419,DC5FD99A,D61B2407,[Table],6
7,7,Akumajou Dracula - Circle of the Moon,Sram_v110,8388608,Konami,7,Capital,256,57FFF518,C941BF8F,[Table],7
8,8,Advance GTA,Sram_v110,8388608,MTO,7,Capital,2,58FB3FFE,FE9EB1CB,[Table],8
9,9,Konami Wai Wai Racing Advance,Sram_v110,4194304,Konami,7,Capital,256,93E2B421,7FD387ED,[Table],9
10,10,Bakunetsu Dodge Ball Fighters,Sram_v110,4194304,Atlus,7,Capital,256,2977FD8C,8B610F21,[Table],10
11,11,Pinobee no Daibouken,Sram_v110,8388608,Hudson,7,Capital,256,4F02091D,28962410,[Table],11
12,12,Power Pro Kun Pocket 3,Sram_v110,8388608,Konami,7,Capital,256,B5266C72,DDC6E134,[Table],0
13,13,Napoleon,Sram_v110,8388608,Nintendo,7,Capital,256,BC622C32,3FDD81BF,[Table],581
14,14,Zen-Nippon GT Senshuken,Flash_v121,4194304,Kemco,7,Capital,2,0FC56901,F8C38767,[Table],12
15,15,Fire Pro Wrestling A,Flash_v121,8388608,Spike,7,Capital,256,A470077F,5F9E6D44,[Table],13
16,16,Tweety no Hearty Party,Sram_v110,4194304,Kemco,7,Capital,256,235EE62A,6E12B281,[Table],14
17,17,JGTO Kounin Golf Master - Japan Golf Tour Game,Flash_v121,8388608,Konami,7,Capital,256,374B0C59,404A7763,[Table],15
18,18,Winning Post,Flash_v121,4194304,Koei,7,Rapid Fire,256,6421562E,4A8BD0C9,[Table],0
19,19,Silent Hill - Play Novel,Sram_v110,8388608,Konami,7,Rapid Fire,256,7CBD624E,274A48E7,[Table],0
