10001	16 Tiles Mahjong (Unl) - Independent	MegaDrive	1048576	Independent
10002	3 Ninjas Kick Back (U) - Sony	MegaDrive	2097664	Sony
10003	688 Attack Sub (U) - Sega	MegaDrive	1048576	Sega
10004	777 Casino (Unl) - Independent	MegaDrive	1049088	Independent
10005	Aaahh!!! Real Monsters (4) - Sega	MegaDrive	2097664	Sega
10006	Aah! Harimanada (J) - Sega	MegaDrive	2097664	Sega
10007	Action 52-in-1 (UJE) - -	MegaDrive	2097664	-
10008	Action Replay (JUE) - -	MegaDrive	32768	-
10009	Activator Command Demo 30 Hz (JUE) - -	MegaDrive	262144	-
10010	Activator Command Demo 60 Hz (JUE) - -	MegaDrive	262144	-
10011	Addams Family Values (8) - Ocean	MegaDrive	2097664	Ocean
10012	Addams Family, The (UE) - Acclaim	MegaDrive	1048576	Acclaim
10013	Advanced Daisenryaku (J) - Sega	MegaDrive	1049088	Sega
10014	Aero Blasters (JU) - Kaneko	MegaDrive	524800	Kaneko
10015	Aero the Acro-Bat (U) - Sunsoft	MegaDrive	1049088	Sunsoft
10016	Aero the Acro-Bat 2 (E) - Sunsoft	MegaDrive	2097152	Sunsoft
10017	Aero the Acro-Bat 2 (U) - Sunsoft	MegaDrive	2097664	Sunsoft
10018	Aerobiz (U) - Koei	MegaDrive	1049088	Koei
10019	Aerobiz Supersonic (U) - Koei	MegaDrive	1049088	Koei
10020	After Burner II (J) - Sega	MegaDrive	524288	Sega
10021	After Burner II (U) - Sega	MegaDrive	524288	Sega
10022	Air Busters (U) - Kaneco	MegaDrive	524800	Kaneco
10023	Air Diver (J) - Asmik	MegaDrive	524288	Asmik
10024	Air Diver (U) - Seismic	MegaDrive	524288	Seismic
10025	Air Manager (J) - Koei	MegaDrive	1049088	Koei
10026	Air Manager 2 (J) - Koei	MegaDrive	1049088	Koei
10027	Akumajo Dracula - Vampire Killer (J) - Konami	MegaDrive	1049088	Konami
10028	Aladdin (E) - Sega	MegaDrive	2097152	Sega
10029	Aladdin (J) - Sega	MegaDrive	2097664	Sega
10030	Aladdin (U) - Sega	MegaDrive	2097152	Sega
10031	Aleste - Full Metal Fighter Ellinor (J) - Toaplan	MegaDrive	524800	Toaplan
10032	Alex Kidd in the Enchanted Castle (E) - Sega	MegaDrive	262144	Sega
10033	Alex Kidd in the Enchanted Castle (J) - Sega	MegaDrive	262656	Sega
10034	Alex Kidd in the Enchanted Castle (U) - Sega	MegaDrive	262656	Sega
10035	Alien 3 (JUE) - Probe Productions	MegaDrive	524800	Probe Productions
10036	Alien Soldier (A) - Sega	MegaDrive	2097152	Sega
10037	Alien Soldier (B) - Sega	MegaDrive	2097152	Sega
